Semiconductor,Theory,Formation_E_per_atom,Decomp_E_pfu,Bandgap,a,b,c,alpha,beta,gamma,Dielectric,SLME
Ag1Al0.5Ga0.5S2_kesterite,HSE+SOC,-0.97816011,-0.604032006,3.070434135,13.58167192,14.23941846,13.31312364,111.4633328,110.48256,108.9882442,4.14974909,17.01518555
Ag1Al0.5Ga0.5Se2_kesterite,HSE+SOC,-0.828677423,-0.429201037,2.008505984,14.60554786,14.69518951,13.23446678,112.9660527,109.2729169,114.0761555,7.276522839,38.00261933
Ag1Al0.5Ga0.5Se2_stannite,HSE+SOC,-0.806272043,-0.270246052,1.322286084,13.99350417,13.9067402,15.08845238,110.4973604,113.6482227,108.2794761,6.907194242,36.53220741
Ag1Al0.5Ga0.5Te2_kesterite,HSE+SOC,-0.506986898,-0.383163739,1.560503267,15.23110531,16.23073817,15.38782818,108.2322613,112.8305064,110.6481549,9.077757288,38.44798251
Ag1Al0.5Ga0.5Te2_stannite,HSE+SOC,-0.461962033,-0.250498566,0.767989183,14.97265087,15.53169324,16.30187144,113.2290261,108.0702038,112.882657,9.704004345,23.13018707
Ag1Al0.5In0.5S1Se1_kesterite,HSE+SOC,-0.796397331,-0.430525464,2.037367578,14.23218686,15.04375912,14.18288477,109.9469124,111.4114261,111.5196058,4.333615649,36.43533985
Ag1Al0.5In0.5Se2_kesterite,HSE+SOC,-0.780042269,-0.409114019,1.698097287,14.79166207,14.78474734,14.57795667,115.0261843,114.5049828,115.0441628,5.896716804,40.78382563
Ag1Al0.5In0.5Se2_stannite,HSE+SOC,-0.756902917,-0.328054251,1.163323049,14.47815804,14.61146156,15.96139395,112.7027378,111.0134031,113.8158108,7.000559376,36.28344893
Ag1Al0.5In0.5Te2_kesterite,HSE+SOC,-0.489073085,-0.492765043,1.446842624,16.22059727,15.3970999,15.35783744,111.3948587,112.9499796,112.0911553,8.601556913,39.52916049
Ag1Al1S1Se1_kesterite,HSE+SOC,-0.986041477,-0.508173847,2.631368206,14.20845156,13.97735111,13.27109165,108.563705,110.333663,113.3549491,6.43225901,25.52032756
Ag1Al1S2_kesterite,HSE+SOC,-1.087116445,-0.554964675,3.791449046,7.106078963,7.2575236,13.31619871,109.0662796,112.0463647,111.7903944,2.546781412,4.431297325
Ag1Al1S2_stannite,HSE+SOC,-1.085173123,-0.349983931,3.382717487,6.628623714,6.322185683,15.08556124,113.4702194,115.5843076,113.3592692,6.721122317,12.24351249
